ConceptId	Synonyms
1010210002	Traumatic amputation of left leg
1010210002	Traumatic amputation of left lower extremity
1010211003	Traumatic amputation of right lower extremity
1010211003	Traumatic amputation of right leg
1010212005	Congenital dysplasia of left hip
1010213000	Congenital dysplasia of right hip
1010233001	Earache of left ear
1010234007	Earache of right ear
1010235008	Mastalgia of left breast
1010237000	Mastalgia of right breast
1010282001	Neonatal disorder due to traumatic injury to mother
1010283006	Foetal disorder due to maternal traumatic injury
1010283006	Fetal disorder due to traumatic injury of mother
1010283006	Foetal disorder due to traumatic injury of mother
1010284000	Foetal disorder due to abnormal blood chemistry in mother
1010284000	Fetal disorder due to abnormal blood chemistry in mother
1010284000	Foetal disorder due to abnormal maternal blood chemistry
1010285004	Neonatal disorder due to abnormal blood chemistry in mother
1010286003	Foetal disorder due to chronic maternal cardiovascular disease
1010286003	Fetal disorder due to chronic cardiovascular disease in mother
1010286003	Foetal disorder due to chronic cardiovascular disease in mother
1010287007	Neonatal disorder due to chronic cardiovascular disease in mother
1010293004	Possible TPMT intermediate metabolizer
1010293004	Possible thiopurine S-methyltransferase intermediate metabolizer
1010293004	Possible TPMT intermediate metaboliser
1010297003	Neonatal vitamin B12 deficiency due vitamin B12 deficiency in mother
1010298008	Fetal disorder due to overweight mother
1010298008	Foetal disorder due to maternal overweight
1010298008	Foetal disorder due to overweight mother
1010299000	Neonatal disorder due to overweight mother
1010301007	Neonatal disorder due to obesity of mother
1010302000	Foetal disorder due to obesity of mother
1010302000	Foetal disorder due to maternal obesity
1010302000	Fetal disorder due to obesity of mother
1010309009	Traumatic amputation of left lower extremity at level between knee and ankle
1010309009	Traumatic amputation of left leg at level between knee and ankle
1010312007	Traumatic amputation of right leg at level between knee and ankle
1010312007	Traumatic amputation of right lower extremity at level between knee and ankle
1010314008	Foetal disorder due to maternal obesity with adult body mass index equal to or greater than 40
1010316005	Foetal disorder due to maternal obesity with adult body mass index 30 or greater but less than 40
1010319003	Foetal disorder due to maternal nutritional disorder
1010319003	Fetal disorder due to nutritional disorder of mother
1010319003	Foetal disorder due to nutritional disorder of mother
1010320009	Neonatal disorder due to nutritional disorder of mother
1010323006	Extension of left sacral spine
1010326003	Extension of right sacral spine
1010330000	Flexion of left sacral spine
1010331001	Flexion of right sacral spine
1010341003	Sweating on left half of body
1010342005	Sweating on right half of body
1010397000	G6PD (glucose-6-phosphate dehydrogenase) severely deficient activity
1010400009	Genetic susceptibility to malignant hyperthermia due to RYR1 (ryanodine receptor 1) gene mutation positive
1010405004	Paroxysmal a-fib (atrial fibrillation) with RVR (rapid ventricular response)
1010405004	Paroxysmal AF (atrial fibrillation) with RVR (rapid ventricular response)
1010415005	Fetal disorder due to maternal gestational edema and proteinuria without hypertension
1010415005	Foetal disorder due to maternal gestational oedema and proteinuria without hypertension
1010416006	Neonatal disorder due to maternal gestational edema and proteinuria without hypertension
1010568002	Undescended left testis
1010569005	Undescended right testis
1010610007	Usher syndrome type 3
1010612004	Umbilical cord torsion
1010615002	Pulmonary late syphilis
1010616001	Cirrhosis of liver due to classical cystic fibrosis
1010618000	Bilateral webbed fingers
1010618000	Syndactyly of fingers of both hands
1010620002	Pulmonary Mycobacterium malmoense infection
1010622005	Pulmonary Mycobacterium xenopi infection
1010623000	Disorder of lung due to IgA (immunoglobulin A) vasculitis
1010628009	X-linked congenital generalized hypertrichosis
1010634002	Acinetobacter pneumonia
1010635001	Umbilical cord neoplasm
1010637009	Eustachian salpingitis with obstruction
1010637009	Inflammatory eustachian obstruction
1010639007	Anomaly of umbilical vein group 1
1010641008	Anomaly of umbilical vein group 2
1010644000	Upper thoracic spina bifida aperta
1010645004	Single umbilical cord artery type 3
1010646003	Single umbilical cord artery type 4
1010652002	Single umbilical cord artery type 2
1010655000	Single umbilical cord artery type 1
1010657008	Secondary hypoplasia of bilateral lungs
1010657008	Secondary hypoplasia of both lungs
1010659006	Segmental infantile hemangioma
1010660001	Infantile subglottic haemangioma
1010660001	Infantile subglottic hemangioma
1010660001	Infantile hemangioma of subglottis
1010662009	Pulmonary Mycobacterium kansasii infection
1010666007	Autosomal recessive Stickler syndrome
1010676005	Pulmonary benign clear-cell neoplasm
1010678006	Anomaly of umbilical vein group 3
1010680000	Anomaly of umbilical vein group 4
1010683003	Traumatic amputation of left leg through thigh
1010683003	Traumatic amputation of left lower extremity through thigh
1010684009	Traumatic amputation of right leg through thigh
1010684009	Traumatic amputation of right lower extremity through thigh
1010685005	Oculoauriculovertebral spectrum
1010685005	OAV (oculo-auriculo-vertebral) spectrum
1010709006	Longitudinal deficiency of both fibulae
1010712009	EDMD2 - autosomal dominant Emery-Dreifuss muscular dystrophy
1010729007	Thromboembolus of artery of upper extremity
1010730002	Thromboembolus of artery of lower extremity
10111000000104	FP78 form okayed by FPC (family practitioner committee)
10121000000105	FP78 form not okayed by FPC (family practitioner committee)
101301000119106	Acute hypercapnic respiratory failure due to obstructive sleep apnea
10137002	Burn erythema of chin
10137002	Superficial burn of chin
10137002	First degree burn of chin
10138007	Haematopoietic cell proliferation
10138007	Hematopoietic cell proliferation
101421000119107	Dementia due to Parkinsons disease
101421000119107	Dementia due to Parkinson disease
101461000119102	Musculocutaneous nerve paralysis
10151000132103	Fever caused by virus
10161000000102	FP79 form requested from FPC (family practitioner committee)
10164001	Parasystolic beat
10170007	BADS syndrome
10171000000109	FP79 form sent to FPC (family practitioner committee)
10171000132106	Neuropsychiatric symptoms
10171000132106	BPSD - behavioral and psychological symptoms of dementia
10171000132106	BPSD - behavioural and psychological symptoms of dementia
10171000132106	Behavioral and psychological symptoms of dementia
101711000119105	Glomerulonephritis due to antineutrophil cytoplasmic antibody (ANCA) positive vasculitis
1017196003	Interstitial pulmonary fibrosis due to inhalation of chemical
1017196003	Interstitial pulmonary fibrosis caused by inhalation of chemical
1017197007	Interstitial pulmonary fibrosis caused by inhalation of drug
1017214008	Severe acute respiratory syndrome coronavirus 2 viremia
1017214008	SARS-CoV-2 viremia
1017214008	Severe acute respiratory syndrome coronavirus 2 viraemia
1017214008	Viraemia caused by Severe acute respiratory syndrome coronavirus 2
1017214008	Viremia caused by Severe acute respiratory syndrome coronavirus 2
10180006	Focal hemosiderosis
10181000000106	FP79 form okayed by FPC (family practitioner committee)
10191000000108	FP79 form not okayed by FPC (family practitioner committee)
10193001	Pseudomonal arthritis
10193001	Arthritis caused by Pseudomonas
10196009	Osteochondrosis of the acetabulum
1020003	Disease caused by Nairovirus
10205009	Megaloblastic anemia due to exfoliative dermatitis
1021000119106	PICC (peripherally inserted central catheter) in situ
10212000	Kocher sign
102161000119102	Family problems due to mental condition
10217006	Laceration of tissues between vaginal AND/OR perineal muscular layers and rectal mucosa
10217006	Obstetrical laceration, third degree
102171000119108	Family problems due to medical condition
102191000119109	History of eye injury
10221004	Lupine poisoning
102274008	Lack of ossification
102275009	Dumbbell-shaped ossification
102276005	Bifid ossification
102278006	Red blood cell sequestration
1023001	Apnoeic
1023001	Apnea
1023001	Not breathing
1023001	Has stopped breathing
1023001	Apneic
10231000000104	FP70A form requested from FPC (family practitioner committee)
10231000132102	In-vitro fertilisation pregnancy
10231000132102	IVF - in-vitro fertilization pregnancy
10231000132102	In-vitro fertilization pregnancy
10241000000108	FP70A form sent to FPC (family practitioner committee)
102449007	Drug-induced tardive dyskinesia
102449007	TD - Tardive dyskinesia
102451000119107	Complete atrioventricular block due to atrioventricular nodal ablation
102453009	Acute peritonsillitis
102458000	Shaken baby syndrome - non-accidental injury
102458000	Shaken baby
102475006	Patient reaction
102480002	Generalized acute body pains
102480002	Generalized acute body aches
102480002	Generalised acute body aches
102481003	Generalized chronic body pains
102481003	Generalized chronic body aches
102481003	Generalised chronic body aches
102482005	Growing pains in limbs
102492002	Unable to maintain weight
102496004	Spiking temperature
102498003	Pangs of death
102498003	Agonizing state
102498003	Agonising state
102499006	State of being healthy
102499006	Looks well
102500002	Healthy newborn
102501003	Healthy male newborn
102502005	Healthy female newborn
102503000	Healthy premature newborn
102504006	Healthy premature male newborn
102505007	Healthy premature female newborn
102506008	Healthy child
102507004	Healthy male child
102508009	Healthy female child
102509001	Healthy adolescent
102509001	Well teen
102509001	Healthy teen
102509001	Healthy teenager
102509001	Well teenager
102510006	Healthy male adolescent
102511005	Healthy female adolescent
102512003	Healthy adult
102513008	Healthy male adult
102514002	Healthy female adult
102515001	Healthy elder
102516000	Healthy elderly male
102516000	Healthy male elder
102517009	Healthy female elder
102517009	Healthy elderly female
102533007	Excessive physical exercise
102535000	Right lateral position
102536004	Left lateral position
1025371000000108	EHCP (Emergency Health Care Planning) declined
102538003	Lying position
102538003	Lying recumbent
102549009	Nocturnal lower leg cramp
102549009	Recumbency cramps
102549009	Night cramps
102549009	Sleep related lower leg cramp
102551008	Foot cramps
102553006	Increased ossification
102556003	Pain of upper limb
102557007	Lame arm
102558002	Edema of the upper extremity
102560000	Edema of forearm
102562008	Edema of elbow
102563003	Edema of wrist
102564009	Edema of hand
102565005	Edema of finger
102566006	Edema of thumb
102567002	Loss of control of legs
102568007	Muscle weakness of lower extremity
102570003	Groin pain
102572006	Edema of lower extremity
102572006	Edema of lower limb
102572006	Oedema of lower limb
102573001	Edema of thigh
102575008	Knee oedema
102575008	Edema of knee
102575008	Knee edema
102576009	Foot edema
102576009	Pedal edema
102576009	Foot oedema
102576009	Pedal oedema
102576009	Edema of foot
102577000	Trepopnea
102594003	Abnormal EKG finding
102594003	Abnormal ECG
102595002	Unpleasant odor of axilla
102596001	Unpleasant odor of genitalia
102598000	Sticky skin
102598000	Clamminess
102599008	Warm to touch
102603008	Loss of sensation of skin
102605001	Hutchinson mask
102606000	Leser-Trelat sign
102606000	Sign of Leser-Trélat
102607009	Sugar craving
102608004	Constant appetite
102608004	Voracious appetite
10261000000109	FP75 form requested from FPC (family practitioner committee)
102610002	Inadequate diet
102610002	Inadequate food intake
102613000	Localized abdominal pain
102614006	General abdominal pain-symptom
102614006	Generalized abdominal pain
102616008	Oral cavity pain
102616008	Oral pain
102617004	Congestion of pharynx
102618009	Dry throat
102619001	Oesophagodynia
102619001	Esophagodynia
102619001	Pain in esophagus
102619001	Esophageal pain
102619001	Oesophageal pain
102621000119101	Ulcer of skin due to type 2 diabetes mellitus
102624003	Intestinal hypermotility
102634007	Negative base excess
102635008	Acute deficiency
102635008	Acute acquired deficiency
102635008	Acute nutritional deficiency
102636009	Chronic acquired deficiency
102636009	Chronic deficiency
102636009	Chronic nutritional deficiency
10269001	Neonatal massive aspiration syndrome
10269001	Aspiration of contents of birth canal
1027000	Alkaline reflux esophagitis
1027000	Alkaline reflux oesophagitis
1027000	Biliary oesophagitis
1027000	Biliary esophagitis
10271000000102	FP75 form sent to FPC (family practitioner committee)
10273003	Acute papillary muscle infarction
10277002	Cushing's syndrome I
10277002	Acoustic neuroma syndrome
10281000132103	Unprepared colon segment with mucosa not seen due to solid stool that cannot be cleared
10281000132103	Boston bowel preparation scale segment score 0
102830001	CVA tenderness
102830001	Costovertebral angle tenderness
102831000119104	Paraplegia or paraparesis as sequela of stroke
102834005	Normal urination
102834005	Normal voiding
102835006	Difficulty with micturition
102835006	Difficulty in urination
102835006	Difficulty in voiding
102838008	Urinary cast, leukocyte
102848005	Urine: fat globules
102851003	Urinary crystal, ammonium acid urate
102856008	Urinary crystal, calcium sulfate
102862003	Urinary crystal, sulfonamide
102863008	Urinary crystal, triple phosphate
102865001	Uricosuria
102867009	Discolored urine
102868004	Intermenstrual spotting caused by IUD
102868004	Intermenstrual spotting due to IUD
102868004	Intermenstrual spotting caused by intrauterine device
102872000	Oral contraceptive failure
102874004	Think I am going to have a baby
102874004	Patient thinks they are pregnant
102874004	Think I am pregnant
102876002	Multip
102877006	Para 0
102878001	Recurrent abortion
102878001	Habitual aborter
102878001	Habitual abortion
102878001	Recurrent aborter
102881006	Normal placental secretion of chorionic gonadotrophin
102882004	Abnormal placental secretion of chorionic gonadotrophin
102883009	Increased placental secretion of chorionic gonadotrophin
102884003	Decreased placental secretion of chorionic gonadotrophin
102885002	Absence of placental secretion of chorionic gonadotrophin
102886001	Increased amniotic fluid production, function
102887005	Decreased amniotic fluid production, function
102888000	Breast development at puberty
102888000	Development of the breasts
102889008	Premature breast development at puberty
102889008	Precocious breast development
102889008	Precocious thelarche
102889008	Premature breast development
102894008	Feeling relaxed
102894008	Relaxed feeling
102897001	Feeling groggy
102897001	Feeling drunk
102905003	Lack of guilt feelings
102906002	Delinquency
102906002	Delinquent behavior
10291000132101	Portion of mucosa of colon segment seen, but other areas of colon segment not well seen due to staining, residual stool and/or opaque liquid
10291000132101	Boston bowel preparation scale segment score 1
102910004	Archaic-paralogical thinking
102912007	Fear of dying
102913002	Fear of being buried alive
102915009	Fear of disease
102915009	Pathophobia
102916005	Fear of spiders
102918006	Fear of microorganisms
102920009	Fear of contracting human immunodeficiency virus infection
102921008	Fear of poisoning
102921008	Iophobia
102922001	Fear of childbirth
102923006	Fear of birth of malformed fetus
102923006	Fear of birth of malformed foetus
102924000	Fear of fire
102925004	Keraunophobia
102925004	Fear of lightning
102928002	Fear of God
102929005	Fear of men
102930000	Fear of women
102930000	Gynephobia
102934009	Embolophrasia
102934009	Embolalia
102941003	Incapacity to forget
102942005	IQ - Intelligence quotient low
102945007	Natural sexual behaviour
102945007	Natural sexual behavior
102945007	Normal sexual behavior
102946008	Abnormal sexual behavior
102946008	Unnatural sexual behaviour
102946008	Unnatural sexual behavior
102947004	High risk sexual behavior
102947004	Unsafe sexual practices
102954005	Morning after pill
102954005	Postcoital pill
102955006	Pregnancy with contraceptive device
102957003	Neuro-obs
102957003	Neurological findings
102957003	Nervous system finding
102957003	Neurological observations
102958008	Hyperpolarisation of nerve cell and nerve fibre
102958008	Hyperpolarization of nerve cell and nerve fiber
102958008	Increased polarization of nerve cell and nerve fiber
102981005	Normal reflex action
102996009	Abnormal sensitiveness to cold
102996009	Cryesthesia
102997000	Painful feeling of cold
102998005	Loss of cold perception
102999002	Pain due to application of cold
103000001	Rheumatic pain in cold weather
103001002	Feels feverish
103002009	Feeling hot and cold
103003004	Decrease of position sense
103007003	External compression headache
103009000	Cold stimulus headache
10301000000104	FP45 form requested from FPC (family practitioner committee)
10301000132102	Boston bowel preparation scale segment score 2
10301000132102	Minor amount of residual staining, small fragments of stool and/or opaque liquid, but mucosa of colon segment seen well
103011009	Benign exertion headache
103011009	Exertion-induced headache
103013007	Smarting
103017008	Postural lightheadedness
103031000119101	Foetal exposure to teratogen
103031000119101	Fetal exposure to teratogenic substance
103031000119101	Fetal exposure to teratogen
103061000119109	Closed fracture of nasoorbitoethmoid complex
103061000119109	Closed fracture of nasal-orbit bony complex
103075007	Humoural immunity deficiency
103075007	Humoral immunity deficiency
103075007	Humoral immune defect
103075007	Predominantly B-cell defect
103079001	Immunodeficiency caused by corticosteroid
10311000000102	FP45 form sent to FPC (family practitioner committee)
10311000132100	Boston bowel preparation scale segment score 3
10311000132100	Entire mucosa of colon segment seen well with no residual staining, small fragments of stool or opaque liquid
10314002	Closed nasality
10314002	Rhinolalia clausa
10314002	Hyponasality
10314002	Denasality
10321002	Mastoid abscess
103212007	Megakaryocytosis
103225004	Blood group P>2<
10325006	Nominal dysphasia
10325006	Dysnomia
10325006	Nominal aphasia
10325006	Amnesic aphasia
10325006	Anomia
10325006	Amnestic aphasia
10325006	Anomic dysphasia
103251002	Normal eye movement
103252009	Abnormal eye movement
103254005	Corneal reflex depressed
103260005	Downward gaze of eyes
103261009	Upward gaze of eyes
103262002	Gazing fixedly
103264001	Eye rolling
10327003	Cocaine induced mood disorder
103271006	Fixed dilated pupil
103271006	Fixed pupil up
103273009	Absence of light reflex
103273009	Loss of light reflex
103274003	Normal IOP with narrow cleft
103275002	Normal IOP with imperforate pectinate
103277005	Normal stapedial reflex
103278000	Abnormal stapedial reflex
103281005	Plugged feeling in ear
103281005	Ear blockage sensation
103281005	Sensation of block in ear
103284002	Vertigo induced by position of head or body
103284002	Postural vertigo
1032841000000102	ESBL (extended spectrum beta-lactamase) resistant bacterial infection
103286000	Dizziness on lying flat
103287009	Matutinal vertigo
103288004	Height vertigo
103293001	Phobic postural vertigo
103293001	Chronic subjective dizziness
103293001	Visually-induced vertigo
103293001	PPPD - persistent postural perceptual dizziness
103293001	Visual vertigo
103297000	Vertigo preceded by use of new drug
103305000	Presbyphonia
1033571000000100	Minor PPH (postpartum haemorrhage)
1033591000000101	Major PPH (postpartum haemorrhage)
10337008	Valvular incompetence
10337008	Valvular insufficiency
10337008	Incompetence of any valvular structure
10340008	Isolated gonadotrophin deficiency
10341000000101	GPCF1 GP (general practitioner) form sent to FPC (family practitioner committee)
10345003	Primary tonsil syphilis
10347006	Sunlight-induced angio-oedema-urticaria
10347006	Sunlight-induced angioedema-urticaria
10349009	Vascular dementia, with delirium
10349009	Multi infarct dementia with delirium
10351000132101	Post polypectomy electrocoagulation syndrome
10351008	Septic tonsillitis
10360000	Periorbital rhytides
103606006	Masked facies
103606006	Masklike face
103609004	Abnormal presence of endometrial cells in specimen
10361000000100	GPCF2 staff form sent to FPC (family practitioner committee)
103611008	Smear too thick for optimal interpretation
10362008	Splenunculi
10362008	Supernumerary spleen
10362008	Polysplenia
10363003	Crow poison poisoning
10363003	Fly poison poisoning
10363003	Staggergrass poisoning
103631007	Normocellularity
103681000119108	Restrictive strabismus due to Graves' disease
103691000119106	Gastric ulcer caused by Helicobacter pylori
103694001	Finding related to non-diagnostic procedure
10370003	Pacemaker rhythm
103732007	Finding related to non-diagnostic medical procedure
103741000119108	Scar causing joint contracture of finger
103761000119107	Tetraplegia or tetraparesis as sequela of stroke
10380004	Crush injury to finger
10380004	Crush injury of finger
10381000	Infection caused by Pneumostrongylus
10381000	Pneumostrongylosis
10385009	Digoxin poisoning
10385009	Digoxin toxicity
10385009	Poisoning caused by digoxin
103871000119109	Restrictive lung disease due to Parkinsons disease
103871000119109	Restrictive lung disease due to Parkinson's disease
10389003	Acute gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction
10392004	Abdominal aorta injury
103921000119100	Vaginal Papanicolaou smear with history of hysterectomy for cancer done
10394003	Friedreich ataxia
10394003	Familial ataxia
10394003	Friedreich's disease
10394003	FA - Friedreich ataxia
103981000119101	Proliferative diabetic retinopathy following surgery
10399008	Hypochloremia
104011000119109	Genital herpes simplex in pregnancy
10406007	Lesch-Nyhan disease
10406007	X-linked hyperuricaemia
10406007	Total HGPRT deficiency
10406007	X-linked hyperuricemia
10406007	Hypoxanthine-guanine phosphoribosyltransferase deficiency
10406007	Complete HGPRT deficiency
10406007	Choreoathetosis self-mutilation syndrome
10406007	Complete hypoxanthine-guanine phosphoribosyltransferase deficiency
10406007	HGPRT deficiency
10406007	HPRT - Hypoxanthine-guanine phosphoribosyltransferase deficiency
1041000119100	Personal condition, partner relational problem
10416004	Third degree burn of lower leg
10421000132103	Haemorrhage requiring transfusion
10421000132103	Hemorrhage requiring transfusion
10423003	Braun von Fernwald sign
10431000000103	DHSS (Department of Health and Social Security) DMO (district medical officer) RM2 form received
10441000000107	DHSS (Department of Health and Social Security) DMO (district medical officer) RM2 form completed
10443009	Localized infection
10446001	Intracavitary aspergillus fungus ball
104461000119104	Ophthalmoplegia due to Graves' disease
104471000119105	Charcot's arthropathy due to syphilis
104471000119105	Charcots arthropathy due to syphilis
10451000000105	DHSS (Department of Health and Social Security) DMO (district medical officer) RM2 form sent
10453005	Boil of hand
104651000119104	Vaginal Papanicolaou smear after hysterectomy with history of cervical dysplasia done
